,Peak CCU,DLC count,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever
0,0,0,0,0,6,11,30,0,0,0
1,0,0,0,0,53,5,12,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,3,0,0,0,0,0
4,0,0,0,0,50,8,17,0,0,0
5,68,0,0,0,87,49,0,0,0,0
6,3,1,0,0,21,7,62,0,0,0
7,2,0,0,0,0,0,0,0,0,0
8,1,0,0,0,76,6,25,0,0,0
9,0,0,0,0,225,45,32,0,703,782
10,5,0,62,0,589,212,34,427,67,93
11,0,1,0,0,147,58,0,0,224,257
12,0,0,0,0,5,0,25,0,0,0
13,0,0,0,0,36,11,19,0,11,11
14,3,0,0,0,100,5,0,0,0,0
15,3,0,64,0,349,134,13,285,44,24
16,0,0,0,0,17,0,0,0,0,0
17,5,0,0,0,2046,120,48,1615,280,303
18,4,2,0,0,0,0,0,1144,34,30
19,0,0,0,0,3,1,0,0,0,0
20,0,1,0,0,61,29,32,0,0,0
21,10,0,0,0,29,28,0,0,337,289
22,19,23,0,0,1490,408,0,1831,127,127
23,0,0,0,0,4,10,0,0,0,0
24,319,0,0,0,392,57,0,493,0,0
25,0,0,0,0,37,22,4,0,0,0
26,0,0,0,0,18,50,43,0,0,0
27,0,0,0,0,38,4,60,0,0,0
28,0,0,0,0,24,5,10,0,0,0
29,19,1,0,0,0,0,73,668,0,0
30,0,0,0,0,23,18,22,0,0,0
31,0,0,0,0,11,4,0,0,0,0
32,0,0,0,0,8,4,11,0,0,0
33,0,2,0,0,16,10,0,0,218,218
34,1,0,0,0,258,166,29,210,739,1108
35,0,0,0,0,1,0,0,0,0,0
36,0,0,0,0,7,2,0,0,0,0
37,0,0,0,0,16,8,0,0,0,0
38,0,0,0,0,35,8,0,0,0,0
39,1,7,0,0,2014,841,0,1477,425,244
40,2,0,0,0,168,39,0,186,48,48
41,0,0,0,0,55,91,0,0,0,0
42,4,0,53,0,1716,628,50,1140,324,431
43,0,2,0,0,0,0,0,0,0,0
44,2,0,84,0,698,203,10,815,83,76
45,19,0,0,0,138,84,211,0,2,2
46,0,0,0,0,2,2,0,0,0,0
47,2164,5,0,0,100620,25286,0,114588,1756,1258
48,0,0,0,0,2,3,0,0,0,0
49,0,0,0,0,60,46,34,0,0,0
50,1,0,0,0,7,1,0,0,0,0
51,0,0,0,0,1,0,18,0,0,0
52,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,3,3,20,0,0,0
55,0,0,0,0,6,1,0,0,0,0
56,1,0,0,0,69,17,17,0,340,340
57,7571,15,0,0,122539,15095,178,126316,2518,1021
58,0,0,0,0,2,17,0,0,0,0
59,0,0,0,0,6,4,0,0,0,0
60,0,0,0,0,10,0,12,0,0,0
61,0,0,0,0,0,1,0,0,0,0
62,1,0,0,0,283,92,0,0,183,196
63,0,0,0,0,7,2,14,0,0,0
64,16,0,0,0,328,253,0,563,670,670
65,0,0,0,0,8,0,0,0,0,0
66,49,0,89,0,9516,1114,0,8684,168,80
67,0,0,0,0,1,0,0,0,0,0
68,0,0,0,0,17,0,13,0,0,0
69,8,3,0,0,180,27,0,185,78,78
70,0,0,0,0,0,0,0,0,0,0
71,133,1,0,0,11739,367,35,11287,282,295
72,0,0,0,0,0,0,0,0,0,0
73,1,1,0,0,51,6,14,0,0,0
74,0,0,0,0,1,0,12,0,0,0
75,0,0,0,0,7,2,0,0,0,0
76,0,0,0,0,4,6,10,0,0,0
77,1,0,0,0,0,0,0,0,0,0
78,0,0,0,0,31,13,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0
80,1,0,0,0,69,0,24,0,0,0
81,0,0,0,0,10,26,0,0,0,0
82,0,0,0,0,0,1,0,0,0,0
83,0,0,0,0,15,3,12,0,0,0
84,2,0,0,0,20,4,0,0,0,0
85,0,0,0,0,1,0,0,0,0,0
86,0,0,0,0,1,2,0,0,0,0
87,2,1,0,0,168,18,0,179,34,34
88,6,0,0,0,102,32,7,0,0,0
89,2,1,70,0,207,98,159,102,360,404
90,0,1,0,0,12,0,46,0,0,0
91,0,0,0,0,0,0,3,0,0,0
92,0,0,0,0,44,9,0,0,0,0
93,358,11,0,0,4278,491,0,3874,1880,2606
94,0,0,0,0,35,11,0,0,0,0
95,0,0,0,0,0,0,7,0,0,0
96,7507,2,86,0,82902,3014,45,80467,3574,1003
97,1,0,0,0,1,1,0,0,0,0
98,1,0,0,0,12,0,25,0,0,0
99,1,0,0,0,245,70,9,293,0,0
100,0,0,0,0,50,0,8,0,0,0
101,0,1,0,0,82,26,199,0,0,0
102,0,1,0,0,288,28,0,228,53,53
103,0,1,0,0,61,16,18,0,0,0
104,0,0,0,0,8,16,11,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,2,0,0,0
107,0,0,0,0,3,0,19,0,0,0
108,0,0,0,0,124,132,0,0,1,1
109,0,0,0,0,8,0,19,0,0,0
110,0,0,0,0,12,6,0,0,0,0
111,0,0,0,0,17,17,80,0,0,0
112,54,0,0,0,4181,806,42,4195,6557,7750
113,0,0,0,0,164,95,0,0,119,227
114,0,0,0,0,0,1,0,0,0,0
115,0,0,0,0,2,8,5,0,0,0
116,70,167,0,0,3075,6009,44,5946,215,76
117,0,0,40,0,245,130,34,226,139,191
118,0,0,0,0,21,1,9,0,0,0
119,44,17,87,0,2108,111,11,1996,171,281
120,0,0,0,0,80,50,19,0,269,270
121,8,0,0,0,2083,481,12,171,142,12
122,3,0,0,0,242,27,40,259,0,0
123,0,0,0,0,6,2,61,0,0,0
124,0,0,0,0,53,11,0,0,0,0
125,0,0,0,0,1,3,0,0,0,0
126,0,0,0,0,1,0,27,0,0,0
127,1457,2,0,0,41425,3672,74,34613,303,216
128,2,0,0,0,26,24,21,0,0,0
129,0,0,0,0,14,2,22,0,0,0
130,0,0,0,0,68,3,17,0,0,0
131,0,3,0,0,6,0,35,0,0,0
132,2,0,0,0,79,29,16,0,0,0
133,0,0,0,0,0,0,7,0,0,0
134,1,0,0,0,25,7,0,0,119,119
135,0,0,0,0,15,1,0,0,0,0
136,495,0,92,0,16788,1211,0,13997,1034,449
137,0,0,0,0,9,4,0,0,0,0
138,0,0,0,0,33,15,12,0,39,66
139,0,0,0,0,72,43,0,0,11,11
140,0,0,0,0,10,10,6,0,0,0
141,22,0,0,0,68,20,0,0,335,343
142,0,0,0,0,2,0,0,0,0,0
143,0,0,0,0,26,0,28,0,0,0
144,0,0,0,0,16,0,38,0,0,0
145,0,0,0,0,8,0,0,0,0,0
146,0,0,0,0,11,9,0,0,0,0
147,15,0,0,0,69,2,0,0,0,0
148,0,0,0,0,72,8,56,0,3,3
149,0,0,0,0,1,0,0,0,0,0
150,0,0,0,0,1,0,0,0,0,0
151,0,0,0,0,15,11,6,0,0,0
152,0,0,0,0,73,15,0,0,0,0
153,61,0,0,0,20432,1120,14,19825,216,115
154,3,0,0,0,26,3,44,0,0,0
155,0,0,0,0,11,18,0,0,0,0
156,0,0,0,0,41,0,0,0,0,0
157,4,0,0,0,65,3,14,0,0,0
158,0,0,0,0,14,8,21,0,0,0
159,0,1,0,0,65,38,12,0,16,16
160,15,1,0,0,1640,145,30,1656,827,1059
161,6,0,0,0,79,43,45,117,0,0
162,0,0,0,0,24,6,7,0,0,0
163,1,0,0,0,37,3,0,0,0,0
164,0,0,0,0,2,0,0,0,0,0
165,3,0,0,0,14,11,0,0,232,232
166,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,13,5,10,0,0,0
168,0,0,0,0,10,1,20,0,0,0
169,0,0,0,0,14,2,0,0,0,0
170,0,0,0,0,3,3,7,0,0,0
171,0,0,0,0,2,1,0,0,0,0
172,0,0,0,0,8,1,111,0,0,0
173,0,0,0,0,5,0,16,0,0,0
174,4,0,76,0,332,33,43,317,205,205
175,2,0,51,0,420,147,16,377,54,54
176,1,0,0,0,33,1,0,0,0,0
177,0,0,0,0,5,2,0,0,0,0
178,0,0,0,0,12,5,0,0,0,0
179,0,0,0,0,1,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,3,1,7,0,0,0
182,2,0,0,0,58,13,0,0,0,0
183,4,0,0,0,1078,440,0,0,30,31
184,1,0,0,0,0,0,8,0,0,0
185,0,0,49,0,5,4,0,0,0,0
186,0,0,0,0,5,0,13,0,0,0
187,91,13,81,0,2113,125,51,1992,4495,8126
188,0,0,0,0,2,1,0,0,0,0
189,0,0,0,0,1,2,0,0,0,0
190,0,0,0,0,5,13,0,0,0,0
191,0,0,0,0,185,28,38,156,359,359
192,0,0,0,0,8,0,9,0,0,0
193,0,0,0,0,14,17,0,0,242,267
194,0,0,0,0,0,0,0,0,0,0
195,1,0,0,0,7,9,0,0,0,0
196,3,1,0,0,115,73,6,122,0,0
197,0,0,0,0,0,0,24,0,0,0
198,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,7,8,0,0,0,0
200,0,2,0,0,8,0,16,0,0,0
201,1,0,0,0,71,9,21,0,0,0
202,0,0,0,0,0,1,0,0,0,0
203,0,0,0,0,20,1,0,0,0,0
204,1,0,0,63,54,29,0,205,0,0
205,3,3,69,0,646,544,26,604,283,211
206,1,1,0,0,138,22,64,0,341,341
207,0,0,0,0,0,0,27,0,0,0
208,17,9,72,0,900,126,50,735,411,411
209,0,1,0,0,41,8,11,0,0,0
210,0,0,0,0,1,0,0,0,0,0
211,0,1,0,0,61,15,6,0,284,291
212,0,0,0,0,11,1,8,0,9,9
213,0,0,0,0,1,1,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0
215,1,0,0,0,94,107,44,101,292,292
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,7,0,17,0,0,0
218,0,0,0,0,13,2,0,0,0,0
219,0,0,0,0,16,14,21,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,5,2,20,0,0,0
222,0,8,0,0,32,9,37,0,0,0
223,0,0,0,0,63,114,0,148,0,0
224,0,0,0,0,46,25,24,0,0,0
225,0,0,0,0,48,26,0,0,65,126
226,0,0,0,0,25,1,0,0,0,0
227,3,0,0,0,388,373,13,121,599,883
228,2,0,0,0,102,47,0,115,367,677
229,0,0,0,0,546,67,27,521,242,257
230,0,0,0,0,5,3,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,7,3,0,0,0,0
